id,status,symbol,time,type,trend,price,balance_rate,try_count,order_id,strategy_id
123653,done,600519.XSHG,2005-06-08 10:29:00,buy,long,11.13,0.10,1,D987D50C-5AB4-41F1-B737-C6981DF309D1,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-09 09:59:00,sell,long,11.35,0.00,1,9E5F541A-CC5E-42C5-9C71-1AD5F134A6BA,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-09 09:59:00,sell,long,11.35,0.00,1,BF65B764-473D-44E7-BDF3-CF89CCCA1B77,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-09 09:59:00,sell,long,11.35,0.00,1,1703923A-8511-4843-91F6-216AA0D107CC,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-09 14:59:00,sell,long,11.27,0.00,1,A0BE703F-4787-4F02-A2DB-00CC034E375E,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-06-09 14:59:00,sell,long,11.27,0.00,1,2680A317-7088-4838-AF10-F90004A674FB,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-09 14:59:00,sell,long,11.27,0.00,1,8FC44764-C279-493F-B833-EB8F64F8B2C6,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-09 14:59:00,sell,long,11.27,0.00,1,D987D50C-5AB4-41F1-B737-C6981DF309D1,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-10 10:29:00,sell,long,11.05,0.00,1,F6AD469B-A5EB-424D-A6E8-98E4BEEC0DB2,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-06-10 14:59:00,buy,long,10.95,0.10,1,3173EBA2-4A9F-423B-96C1-B8C602385F99,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-14 14:59:00,sell,long,11.10,0.00,1,3173EBA2-4A9F-423B-96C1-B8C602385F99,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-14 14:59:00,buy,long,11.10,0.10,1,D9B1092F-9BA2-4B66-A077-965FA6CC7039,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-14 14:59:00,buy,long,11.10,0.10,1,DEBD48D0-D82F-44F7-87EE-586B7A7D301C,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-06-15 10:59:00,buy,long,11.06,0.10,1,ABB32FD5-3F74-42B2-A8A5-197F75DE9DFC,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-15 10:59:00,sell,long,11.06,0.00,1,D9B1092F-9BA2-4B66-A077-965FA6CC7039,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-15 10:59:00,buy,long,11.06,0.10,1,94D4DE64-8171-4E49-A4A3-6642675B05C6,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-15 10:59:00,buy,long,11.06,0.10,1,CBD604D1-B205-46C2-8F62-55D7DD41BAB1,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-15 13:59:00,buy,long,11.07,0.10,1,824EBB48-B0D8-4E55-8830-EA1C99DF8FAF,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-15 13:59:00,buy,long,11.07,0.10,1,9E537C0F-A44A-4B7E-99F0-7EAB5949C7EB,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-16 13:59:00,buy,long,11.23,0.10,1,15DE30A5-C1C9-4462-B7B8-B800CC62989F,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-16 13:59:00,buy,long,11.23,0.10,1,70026870-8F5C-4784-B8DD-1A211C2668CF,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-06-20 13:29:00,sell,long,12.08,0.00,1,ABB32FD5-3F74-42B2-A8A5-197F75DE9DFC,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-20 13:29:00,sell,long,12.08,0.00,1,94D4DE64-8171-4E49-A4A3-6642675B05C6,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-20 14:29:00,sell,long,11.99,0.00,1,CBD604D1-B205-46C2-8F62-55D7DD41BAB1,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-20 14:29:00,sell,long,11.99,0.00,1,9E537C0F-A44A-4B7E-99F0-7EAB5949C7EB,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-20 14:29:00,sell,long,11.99,0.00,1,824EBB48-B0D8-4E55-8830-EA1C99DF8FAF,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-21 10:29:00,sell,long,12.04,0.00,1,15DE30A5-C1C9-4462-B7B8-B800CC62989F,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-21 10:29:00,buy,long,12.04,0.10,1,D064AD19-C389-4AFA-B0C1-5D12D8356493,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-21 10:29:00,buy,long,12.04,0.10,1,EACB42D2-EBCF-4CAB-A1D9-9EC0F0BF8B68,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-21 13:29:00,sell,long,11.84,0.00,1,DEBD48D0-D82F-44F7-87EE-586B7A7D301C,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-06-21 14:59:00,sell,long,11.85,0.00,1,70026870-8F5C-4784-B8DD-1A211C2668CF,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-06-22 13:29:00,buy,long,12.11,0.10,1,F27C1B74-0B97-4111-AC00-671E304D2B2E,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-22 13:29:00,buy,long,12.11,0.10,1,D1CA6094-744E-41EC-B7BC-B4A71F908F2D,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-22 13:29:00,buy,long,12.11,0.10,1,9CA4D968-FD69-4371-973A-50F2FAC0EF39,38DF7992-2198-40DF-A019-D5E05ACC1482
